article_id,published_date,title,summary,source,url,scope,region_id,category,sentiment_raw,impact_magnitude,weighted_sentiment
art-202303-0001,2023-03-01,Koreksi Pasar Properti Pasca-Pandemi Berlanjut,Harga properti di Indonesia mengalami penyesuaian tajam setelah lonjakan selama pandemi.,Jakarta Post,https://example.com/news/art-202303-0001,national,,economy,-0.85,0.9,-0.765
art-202303-0002,2023-03-08,Kekhawatiran Kelebihan Pasokan Properti Jakarta,Analis memperingatkan potensi oversupply apartemen dan rumah di kawasan Jabodetabek.,Kontan,https://example.com/news/art-202303-0002,national,,market,-0.8,0.85,-0.68
art-202303-0003,2023-03-24,Bank Besar Perketat Syarat KPR,Perbankan memperketat persyaratan kredit properti di tengah ketidakpastian pasar.,Kompas.com,https://example.com/news/art-202303-0003,national,,economy,-0.7,0.8,-0.56
art-202303-0004,2023-03-01,Pusat Perbelanjaan Baru Hadir di Cilandak,Mall lifestyle berkonsep open-air dengan 150 tenant akan dibuka di Cilandak Town Square.,Detik Finance,https://example.com/news/art-202303-0004,local,Jakarta Selatan,development,0.0557,0.0561,0.0031
art-202303-0005,2023-03-23,Koridor TransJakarta Baru Hubungkan Cilandak ke Sudirman,Rute BRT baru meningkatkan opsi transportasi umum untuk warga Cilandak dan sekitarnya.,Kontan,https://example.com/news/art-202303-0005,regional,Jakarta Selatan,infrastructure,0.0441,0.1061,0.0047
art-202303-0006,2023-03-25,Gedung Perkantoran Grade A Baru di SCBD,Menara perkantoran 50 lantai berkonsep green building mulai konstruksi di SCBD.,CNBC Indonesia,https://example.com/news/art-202303-0006,local,Jakarta Pusat,development,0.038,0.0695,0.0026
art-202303-0007,2023-03-31,Jaringan Listrik Bawah Tanah untuk Kawasan Menteng,PLN menyelesaikan proyek kabel listrik bawah tanah di kawasan heritage Menteng.,Kompas.com,https://example.com/news/art-202303-0007,local,Jakarta Pusat,infrastructure,0.0479,0.084,0.004
art-202303-0008,2023-03-26,Green Office Park Baru di Puri Indah,Kawasan perkantoran berkonsep hijau akan dibangun di koridor Puri Indah.,Jakarta Post,https://example.com/news/art-202303-0008,local,Jakarta Barat,development,0.0239,0.1093,0.0026
art-202303-0009,2023-03-10,Stasiun KRL Baru di Kembangan Beroperasi,Stasiun commuter line baru meningkatkan aksesibilitas kawasan barat Jakarta.,Kompas.com,https://example.com/news/art-202303-0009,regional,Jakarta Barat,infrastructure,0.025,0.1422,0.0036
art-202303-0010,2023-03-02,Pusat Komersial Baru Direncanakan di Cipinang,Proyek pengembangan retail dan perkantoran baru akan dibangun di Cipinang.,Kontan,https://example.com/news/art-202303-0010,local,Jakarta Timur,development,0.0545,0.0904,0.0049
art-202303-0011,2023-03-28,Pusat Komersial Baru Direncanakan di Cipinang,Proyek pengembangan retail dan perkantoran baru akan dibangun di Cipinang.,CNBC Indonesia,https://example.com/news/art-202303-0011,local,Jakarta Timur,development,0.0509,0.119,0.0061
art-202303-0012,2023-03-07,Koridor TransJakarta Baru ke Pulogebang Beroperasi,Rute BRT baru menghubungkan Terminal Pulogebang langsung ke Kampung Melayu.,Detik Finance,https://example.com/news/art-202303-0012,regional,Jakarta Timur,infrastructure,0.0454,0.0865,0.0039
art-202303-0013,2023-03-06,Ratusan Rumah Terendam Banjir di Penjaringan,"Intensitas hujan tinggi mengakibatkan banjir setinggi 50 cm di Penjaringan, Jakarta Utara.",Jakarta Post,https://example.com/news/art-202303-0013,local,Jakarta Utara,disaster,-0.0225,0.1148,-0.0026
art-202303-0014,2023-03-30,RS Internasional Baru Dibangun di Kelapa Gading,Rumah sakit berstandar internasional dengan 300 bed akan dibangun di kawasan Kelapa Gading.,Detik Finance,https://example.com/news/art-202303-0014,local,Jakarta Utara,development,0.0347,0.0824,0.0029
art-202304-0015,2023-04-22,Pemulihan Ekonomi Lebih Lambat dari Prediksi,Data ekonomi kuartal pertama menunjukkan pemulihan yang lebih lamban dari ekspektasi pasar.,Bisnis Indonesia,https://example.com/news/art-202304-0015,national,,economy,-0.8,0.85,-0.68
art-202304-0016,2023-04-25,Penjualan Properti Baru Turun 20% Year-on-Year,Pengembang melaporkan penurunan signifikan dalam penjualan unit baru.,Detik Finance,https://example.com/news/art-202304-0016,national,,market,-0.75,0.8,-0.6
art-202304-0017,2023-04-08,Harga Rumah Bekas Ikut Terkoreksi,Pasar properti sekunder juga mengalami tekanan harga yang signifikan.,Kontan,https://example.com/news/art-202304-0017,national,,market,-0.65,0.75,-0.4875
art-202304-0018,2023-04-19,Permintaan Ekspat Dorong Harga Sewa di Senayan,Komunitas ekspatriat yang berkembang mendorong kenaikan harga sewa di kawasan premium Jakarta Selatan.,Tribun News,https://example.com/news/art-202304-0018,local,Jakarta Selatan,market,0.026,0.0546,0.0014
art-202304-0019,2023-04-05,Superblok Baru Direncanakan di Dekat Monas,Proyek pengembangan mixed-use berskala besar diumumkan untuk area sekitar Monas.,Jakarta Post,https://example.com/news/art-202304-0019,local,Jakarta Pusat,development,0.03,0.1119,0.0034
art-202304-0020,2023-04-29,Revitalisasi Pasar Tanah Abang Dimulai,Proyek modernisasi pasar terbesar di Asia Tenggara resmi dimulai.,Bisnis Indonesia,https://example.com/news/art-202304-0020,regional,Jakarta Pusat,development,0.0375,0.0684,0.0026
