article_id,published_date,title,summary,source,url,scope,region_id,category,ai_category,ai_scope,ai_sentiment,ai_confidence,impact_score
art-202303-0001,2023-03-01,Koreksi Pasar Properti Pasca-Pandemi Berlanjut,Harga properti di Indonesia mengalami penyesuaian tajam setelah lonjakan selama pandemi.,Jakarta Post,https://example.com/news/art-202303-0001,national,,economy,market,national,negative,high,-0.05
art-202303-0002,2023-03-08,Kekhawatiran Kelebihan Pasokan Properti Jakarta,Analis memperingatkan potensi oversupply apartemen dan rumah di kawasan Jabodetabek.,Kontan,https://example.com/news/art-202303-0002,national,,market,market,regional,negative,high,-0.03
art-202303-0003,2023-03-24,Bank Besar Perketat Syarat KPR,Perbankan memperketat persyaratan kredit properti di tengah ketidakpastian pasar.,Kompas.com,https://example.com/news/art-202303-0003,national,,economy,policy,national,negative,high,-0.0625
art-202303-0004,2023-03-01,Pusat Perbelanjaan Baru Hadir di Cilandak,Mall lifestyle berkonsep open-air dengan 150 tenant akan dibuka di Cilandak Town Square.,Detik Finance,https://example.com/news/art-202303-0004,local,Jakarta Selatan,development,development,local,positive,high,0.03
art-202303-0005,2023-03-23,Koridor TransJakarta Baru Hubungkan Cilandak ke Sudirman,Rute BRT baru meningkatkan opsi transportasi umum untuk warga Cilandak dan sekitarnya.,Kontan,https://example.com/news/art-202303-0005,regional,Jakarta Selatan,infrastructure,infrastructure,regional,positive,high,0.045
art-202303-0006,2023-03-25,Gedung Perkantoran Grade A Baru di SCBD,Menara perkantoran 50 lantai berkonsep green building mulai konstruksi di SCBD.,CNBC Indonesia,https://example.com/news/art-202303-0006,local,Jakarta Pusat,development,development,local,positive,high,0.03
art-202303-0007,2023-03-31,Jaringan Listrik Bawah Tanah untuk Kawasan Menteng,PLN menyelesaikan proyek kabel listrik bawah tanah di kawasan heritage Menteng.,Kompas.com,https://example.com/news/art-202303-0007,local,Jakarta Pusat,infrastructure,infrastructure,local,positive,high,0.03
art-202303-0008,2023-03-26,Green Office Park Baru di Puri Indah,Kawasan perkantoran berkonsep hijau akan dibangun di koridor Puri Indah.,Jakarta Post,https://example.com/news/art-202303-0008,local,Jakarta Barat,development,development,local,positive,high,0.03
art-202303-0009,2023-03-10,Stasiun KRL Baru di Kembangan Beroperasi,Stasiun commuter line baru meningkatkan aksesibilitas kawasan barat Jakarta.,Kompas.com,https://example.com/news/art-202303-0009,regional,Jakarta Barat,infrastructure,infrastructure,local,positive,high,0.03
art-202303-0010,2023-03-02,Pusat Komersial Baru Direncanakan di Cipinang,Proyek pengembangan retail dan perkantoran baru akan dibangun di Cipinang.,Kontan,https://example.com/news/art-202303-0010,local,Jakarta Timur,development,development,local,positive,high,0.03
art-202303-0011,2023-03-28,Pusat Komersial Baru Direncanakan di Cipinang,Proyek pengembangan retail dan perkantoran baru akan dibangun di Cipinang.,CNBC Indonesia,https://example.com/news/art-202303-0011,local,Jakarta Timur,development,development,local,positive,high,0.03
